Código,Tipo de institución,Nombre de institución,Acreditación institución (al 31 de octubre 2025),Área,Nombre carrera genérica,Nombre carrera (del título),% titulados con continuidad de estudios,Retención 1er año,Duración Real (semestres),Empleabilidad 1er año,Empleabilidad 2° año,Ingreso Promedio al 4° año
701,Centros de Formación Técnica,CFT MANPOWER,3 años,Administración y Comercio,Secretariado Bilingüe,Asistente Ejecutivo Bilingüe o Asistente Ejecutivo y de Gestión,0.08875739644970414,0.6528925619834711,7.235294117647057,0.71875,0.7050359712230215,De $1 millón a $1 millón 100 mil
902,Centros de Formación Técnica,CFT DE LA REGION DE ARICA Y PARINACOTA,No,Agropecuaria,Técnico Agropecuario,Técnico de Nivel Superior Agrícola,0.3826086956521739,0.6794871794871795,5.405405405405403,0.620253164556962,,s/i
430,Centros de Formación Técnica,CFT INACAP,7 años,Agropecuaria,Técnico Agropecuario,Tecnología Agrícola y Producción Ganadera,0.20883534136546184,0.6660377358490566,7.748110831234257,0.47570621468926555,0.5362903225806451,De $900 mil a $1 millón
629,Centros de Formación Técnica,CFT PUCV,5 años,Agropecuaria,Técnico Agropecuario,Técnico de Nivel Superior en Agrícola,0.1134020618556701,0.8108108108108109,5.964285714285716,0.559322033898305,,s/i
367,Centros de Formación Técnica,CFT SAN AGUSTIN,5 años,Agropecuaria,Técnico Agropecuario,Técnico Agrícola,0.07604562737642585,0.6298076923076923,5.838461538461538,0.38064516129032255,0.4764705882352941,De $800 mil a $900 mil
260,Centros de Formación Técnica,CFT SANTO TOMAS,6 años,Agropecuaria,Técnico Agropecuario,Técnico Agrícola y Ganadero,0.3831699346405229,0.6836158192090396,6.234756097560975,0.4358683314415437,0.5380359612724758,De $900 mil a $1 millón
633,Centros de Formación Técnica,CFT TEODORO WICKEL KLUWEN,No,Agropecuaria,Técnico Agropecuario,Técnico de Nivel Superior en Gestión Agropecuaria,0.024390243902439025,0.5,4.805555555555554,0.5277777777777778,0.5625,s/i
456,Centros de Formación Técnica,CFT CEDUC - UCN,5 años,Educación,Técnico Asistente del Educador de Párvulos,Técnico en Educación de Párvulos,0.061196105702364396,0.6640625,6.022556390977444,0.2222222222222222,0.33225806451612905,s/i
312,Centros de Formación Técnica,CFT CENCO,3 años,Educación,Técnico Asistente del Educador de Párvulos,Técnico de Nivel Superior en Educación Parvularia,0.06150341685649203,s/i,s/i,0.8027210884353742,0.7485029940119761,De $700 mil a $800 mil
218,Centros de Formación Técnica,CFT DE ENAC,6 años,Educación,Técnico Asistente del Educador de Párvulos,Técnico en Educación Párvulos 1 y 2,0.06442166910688141,0.6797583081570997,6.467391304347825,0.3804347826086957,0.49627791563275436,De $600 mil a $700 mil
902,Centros de Formación Técnica,CFT DE LA REGION DE ARICA Y PARINACOTA,No,Educación,Técnico Asistente del Educador de Párvulos,Técnico de Nivel Superior en Educación Parvularia y primer-segundo año de Educación Básica,0.2356687898089172,0.7727272727272727,s/i,0.24793388429752067,0.38823529411764707,s/i
398,Centros de Formación Técnica,CFT EDUCAP,No,Educación,Técnico Asistente del Educador de Párvulos,Técnico en Educación Parvularia y Básica,0.17391304347826086,s/i,s/i,0.30434782608695654,0.3711340206185567,De $600 mil a $700 mil
214,Centros de Formación Técnica,CFT INSTITUTO CENTRAL DE CAPACITACION EDUCACIONAL ICCE,No,Educación,Técnico Asistente del Educador de Párvulos,Técnico en Educación de Pärvulos,0.3641304347826087,s/i,s/i,0.5714285714285714,,s/i
328,Centros de Formación Técnica,CFT INSTITUTO SUPERIOR DE ESTUDIOS JURIDICOS CANON,No,Educación,Técnico Asistente del Educador de Párvulos,Técnico en Educación de Párvulos,0.02564102564102564,s/i,8.20689655172414,0.2463768115942029,0.4647887323943662,De $600 mil a $700 mil
427,Centros de Formación Técnica,CFT LAPLACE,No,Educación,Técnico Asistente del Educador de Párvulos,Técnico de Nivel Superior en Educación de Párvulos,0.06741573033707865,0.5116279069767442,5.923076923076923,0.35714285714285715,0.43137254901960786,De $600 mil a $700 mil
280,Centros de Formación Técnica,CFT LOS LAGOS,No,Educación,Técnico Asistente del Educador de Párvulos,Técnico en Educación Parvularia y Primer Ciclo de Enseñanza General Básica,0.10030395136778116,s/i,s/i,0.3941368078175896,0.44510978043912175,De $600 mil a $700 mil
450,Centros de Formación Técnica,CFT LOTA-ARAUCO,4 años,Educación,Técnico Asistente del Educador de Párvulos,Técnico en Educación de Párvulos,0.08450704225352113,0.7040816326530612,5.782608695652175,0.1504424778761062,0.16806722689075632,De $600 mil a $700 mil
