ANYO_PROCESO;CODIGO_CARRERA;NOMBRE_CARRERA;NOMBRE_UNIVERSIDAD;AREA_CONOCIMIENTO_SIES;VACANTES_REG;NUM_SELEC_REG;COMPLETA_VACANTES_REG;PROM_OBLIGATORIAS_ULTIMO_SELEC;PROM_OBLIGATORIAS_SD;PROM_OBLIGATORIAS_MIN;PROM_OBLIGATORIAS_P10;PROM_OBLIGATORIAS_P25;PROM_OBLIGATORIAS_PROM;PROM_OBLIGATORIAS_MED;PROM_OBLIGATORIAS_P75;PROM_OBLIGATORIAS_P90;PROM_OBLIGATORIAS_MAX
2026;11001;ARQUITECTURA;UNIVERSIDAD DE CHILE;ARTE Y ARQUITECTURA;210;242;1;670;50.73;670;746.5;770.75;807.13;802.75;841.75;875.25;969
2026;11003;ACTUACIÓN TEATRAL;UNIVERSIDAD DE CHILE;ARTE Y ARQUITECTURA;23;23;1;585;90.79;547;575.4;604.25;667.33;658;695;805.3;882
2026;11004;DISEÑO TEATRAL;UNIVERSIDAD DE CHILE;ARTE Y ARQUITECTURA;25;25;1;583;90.15;539;588;630.5;692.54;679;737.5;819.5;898
2026;11005;DISEÑO;UNIVERSIDAD DE CHILE;ARTE Y ARQUITECTURA;115;135;1;568;68.31;568;634.1;665.75;714.81;714;753.5;798.2;918.5
2026;11011;ARTES VISUALES, LIC. EN ARTES CON MENCIÓN EN;UNIVERSIDAD DE CHILE;ARTE Y ARQUITECTURA;90;97;1;607.5;67.71;567;607.3;639.5;685.96;679.5;724.5;764.2;980.5
2026;11016;TEORÍA E HISTORIA DEL ARTE, LIC. EN ARTES CON MENCIÓN EN;UNIVERSIDAD DE CHILE;ARTE Y ARQUITECTURA;40;40;1;586.5;75.2;525.5;565.45;585.25;641.7;620;689.25;753.5;841.5
2026;11017;TEORÍA DE LA MÚSICA;UNIVERSIDAD DE CHILE;ARTE Y ARQUITECTURA;20;20;1;658.5;59.99;658.5;699.75;735.88;780.4;795;835.38;849.7;855
2026;11020;INGENIERÍA AGRONÓMICA;UNIVERSIDAD DE CHILE;AGROPECUARIA;130;200;1;694.5;84.8;487;583.75;622.12;684.01;683.25;735.5;793.85;908
2026;11021;INGENIERÍA FORESTAL;UNIVERSIDAD DE CHILE;AGROPECUARIA;80;131;1;550.5;89.78;463;522;575;640.06;634;704.5;755.5;880
2026;11022;MEDICINA VETERINARIA;UNIVERSIDAD DE CHILE;AGROPECUARIA;180;210;1;747;51.94;709;753.4;774.5;813.44;805.5;845.88;884.6;982
2026;11024;INGENIERÍA EN RECURSOS NATURALES RENOVABLES;UNIVERSIDAD DE CHILE;TECNOLOGÍA;65;105;1;645.5;88.53;511.5;585.9;640.5;697.27;693;752.5;823.3;917.5
2026;11026;CONTADOR AUDITOR;UNIVERSIDAD DE CHILE;ADMINISTRACIÓN Y COMERCIO;72;99;1;816;45.99;734;779.9;805.5;838.46;832.5;871;901.2;932
2026;11027;INGENIERÍA EN INFORMACIÓN Y CONTROL DE GESTIÓN;UNIVERSIDAD DE CHILE;ADMINISTRACIÓN Y COMERCIO;143;206;1;870.5;39.03;753;793.25;819;846.95;847;872.5;892.25;982
