"AGNO","RBD","DGV_RBD","NOM_RBD","COD_DEPE","COD_DEPE2","RURAL_RBD","COD_REG_RBD","NOM_REG_RBD_A","COD_PRO_RBD","COD_COM_RBD","NOM_COM_RBD","COD_DEPROV_RBD","NOM_DEPROV_RBD","ESTADO_ESTAB","MAT_SI_1","MAT_HOM_1","MAT_MUJ_1","MAT_ENS_1","MAT_SI_2","MAT_HOM_2","MAT_MUJ_2","MAT_ENS_2","MAT_HOM_3","MAT_MUJ_3","MAT_ENS_3","MAT_SI_4","MAT_HOM_4","MAT_MUJ_4","MAT_ENS_4","MAT_SI_5","MAT_HOM_5","MAT_MUJ_5","MAT_ENS_5","MAT_SI_6","MAT_HOM_6","MAT_MUJ_6","MAT_ENS_6","MAT_HOM_7","MAT_MUJ_7","MAT_ENS_7","MAT_HOM_8","MAT_MUJ_8","MAT_ENS_8","MAT_HOM_TOT","MAT_MUJ_TOT","MAT_SI_TOT","MAT_TOTAL","MAT_CHI","MAT_EXT","MAT_NAC","MAT_NO_ETNIA","MAT_ETNIA","MAT_SI_INT","MAT_HOM_INT","MAT_MUJ_INT","MAT_INT_TOTAL","CUR_SIM_01","CUR_SIM_02","CUR_SIM_03","CUR_SIM_04","CUR_SIM_05","CUR_SIM_06","CUR_SIM_07","CUR_SIM_08","CUR_SIM_TOT","CUR_COMB_01","CUR_COMB_02","CUR_COMB_TOT","SLEP","NOMBRE_SLEP"
2025,1,9,"LICEO POLITECNICO ARICA                                                                                                                                                                                                                                        ",6,5,0,15,"AYP  ",151,15101,"ARICA               ",151,"ARICA                  ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,548,314,862,130,94,224,678,408,0,1086,781,303,2,779,307,0,53,21,74,0,0,0,0,0,0,29,14,43,0,0,0,5,"CHINCHORRO"
2025,2,7,"PARVULARIO LAS ESPIGUITAS                                                                                                                                                                                                                                      ",6,5,0,15,"AYP  ",151,15101,"ARICA               ",151,"ARICA                  ",1,0,59,53,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,53,0,112,108,4,0,65,47,0,23,12,35,6,0,0,0,0,0,0,0,6,0,0,0,5,"CHINCHORRO"
2025,3,5,"ESC. PEDRO VICENTE GUTIERREZ TORRES                                                                                                                                                                                                                            ",6,5,1,15,"AYP  ",151,15101,"ARICA               ",151,"ARICA                  ",1,0,0,0,0,0,0,0,0,489,2,491,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,495,2,0,497,170,327,0,481,16,0,0,0,0,0,0,39,0,0,4,0,0,43,0,0,0,5,"CHINCHORRO"
2025,4,3,"LICEO OCTAVIO PALMA PEREZ                                                                                                                                                                                                                                      ",6,5,0,15,"AYP  ",151,15101,"ARICA               ",151,"ARICA                  ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,634,645,1279,0,0,0,0,0,0,0,0,0,0,634,645,0,1279,1185,94,0,923,356,0,37,33,70,0,0,0,0,37,0,0,0,37,0,0,0,5,"CHINCHORRO"
2025,5,1,"JOVINA NARANJO FERNANDEZ                                                                                                                                                                                                                                       ",6,5,0,15,"AYP  ",151,15101,"ARICA               ",151,"ARICA                  ",1,0,0,0,0,0,128,85,213,0,0,0,0,0,0,0,0,246,243,489,0,39,42,81,0,0,0,0,0,0,413,370,0,783,700,83,0,599,184,0,57,28,85,0,8,0,0,16,5,0,0,29,0,0,0,5,"CHINCHORRO"
2025,7,8,"L. POLI. BICENTENARIO DE EXCELENCIA ANTONIO VARAS DE LA BARRA                                                                                                                                                                                                  ",6,5,0,15,"AYP  ",151,15101,"ARICA               ",151,"ARICA                  ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,597,513,1110,0,0,0,597,513,0,1110,812,298,0,704,406,0,107,88,195,0,0,0,0,0,0,40,0,40,0,0,0,5,"CHINCHORRO"
2025,8,6,"COLEGIO EDUARDO FREI MONTALVA                                                                                                                                                                                                                                  ",6,5,0,15,"AYP  ",151,15101,"ARICA               ",151,"ARICA                  ",1,0,22,22,44,0,163,110,273,0,0,0,0,0,0,0,0,255,234,489,0,0,0,0,0,0,0,0,0,0,440,366,0,806,592,214,0,690,116,0,62,31,93,2,8,0,0,18,0,0,0,28,0,0,0,5,"CHINCHORRO"
2025,9,4,"ESCUELA REPUBLICA DE ISRAEL                                                                                                                                                                                                                                    ",6,5,0,15,"AYP  ",151,15101,"ARICA               ",151,"ARICA                  ",1,0,88,86,174,0,620,585,1205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,708,671,0,1379,1353,26,0,1144,235,0,102,78,180,8,32,0,0,0,0,0,0,40,0,0,0,5,"CHINCHORRO"
2025,10,8,"ESCUELA REPUBLICA DE FRANCIA                                                                                                                                                                                                                                   ",6,5,0,15,"AYP  ",151,15101,"ARICA               ",151,"ARICA                  ",1,0,0,16,16,0,0,121,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,0,137,78,59,0,119,18,0,0,47,47,0,8,0,0,0,0,0,0,8,1,0,1,5,"CHINCHORRO"
2025,11,6,"ESC. GRAL. PEDRO LAGOS MARCHANT                                                                                                                                                                                                                                ",6,5,0,15,"AYP  ",151,15101,"ARICA               ",151,"ARICA                  ",1,0,18,23,41,0,157,124,281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,147,0,322,263,59,0,247,75,0,39,26,65,2,9,0,0,0,0,0,0,11,0,0,0,5,"CHINCHORRO"
2025,12,4,"ESCUELA GRAL JOSE MIGUEL CARRERA                                                                                                                                                                                                                               ",6,5,0,15,"AYP  ",151,15101,"ARICA               ",151,"ARICA                  ",1,0,23,13,36,0,150,115,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,128,0,301,281,20,0,231,70,0,49,33,82,2,10,0,0,0,0,0,0,12,0,0,0,5,"CHINCHORRO"
2025,13,2,"ESCUELA MANUEL RODRIGUEZ ERDOYZA                                                                                                                                                                                                                               ",6,5,0,15,"AYP  ",151,15101,"ARICA               ",151,"ARICA                  ",1,0,10,18,28,0,122,95,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,113,0,245,202,43,0,160,85,0,32,26,58,2,8,0,0,0,0,0,0,10,0,0,0,5,"CHINCHORRO"
2025,14,0,"ESCUELA ROMULO J. PENA MATURANA                                                                                                                                                                                                                                ",6,5,0,15,"AYP  ",151,15101,"ARICA               ",151,"ARICA                  ",1,0,34,34,68,0,166,125,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,159,0,359,200,159,0,217,142,0,42,18,60,2,8,0,0,0,0,0,0,10,0,0,0,5,"CHINCHORRO"
2025,15,9,"LICEO BICENTENARIO ARTISTICO DR. JUAN NOE CREVANI                                                                                                                                                                                                              ",6,5,0,15,"AYP  ",151,15101,"ARICA               ",151,"ARICA                  ",1,0,0,0,0,0,100,157,257,0,0,0,0,0,0,0,0,58,78,136,0,0,0,0,0,0,0,0,0,0,158,235,0,393,384,9,0,290,103,0,35,43,78,0,8,0,0,4,0,0,0,12,0,0,0,5,"CHINCHORRO"
2025,16,7,"ESCUELA REGIMIENTO RANCAGUA                                                                                                                                                                                                                                    ",6,5,0,15,"AYP  ",151,15101,"ARICA               ",151,"ARICA                  ",1,0,27,15,42,0,152,79,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,94,0,273,165,108,0,235,38,0,43,19,62,2,8,0,0,0,0,0,0,10,0,0,0,5,"CHINCHORRO"
2025,17,5,"ESCUELA SUBTTE. LUIS CRUZ MARTINEZ                                                                                                                                                                                                                             ",6,5,0,15,"AYP  ",151,15101,"ARICA               ",151,"ARICA                  ",1,0,27,28,55,0,214,169,383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241,197,0,438,340,98,0,363,75,0,56,33,89,2,15,0,0,0,0,0,0,17,0,0,0,5,"CHINCHORRO"
2025,18,3,"ESC. COMTE. JUAN JOSE SAN MARTIN                                                                                                                                                                                                                               ",6,5,0,15,"AYP  ",151,15101,"ARICA               ",151,"ARICA                  ",1,0,29,17,46,0,152,123,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,140,0,321,246,75,0,216,105,0,46,17,63,2,11,0,0,0,0,0,0,13,0,0,0,5,"CHINCHORRO"
2025,19,1,"ESC. HUMBERTO VALENZUELA GARCIA                                                                                                                                                                                                                                ",6,5,0,15,"AYP  ",151,15101,"ARICA               ",151,"ARICA                  ",1,0,16,15,31,0,130,112,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,127,0,273,180,93,0,244,29,0,34,29,63,2,8,0,0,0,0,0,0,10,0,0,0,5,"CHINCHORRO"
2025,20,5,"ESCUELA TUCAPEL                                                                                                                                                                                                                                                ",6,5,0,15,"AYP  ",151,15101,"ARICA               ",151,"ARICA                  ",1,0,24,29,53,0,206,169,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,198,0,428,293,135,0,320,108,0,53,49,102,4,16,0,0,0,0,0,0,20,0,0,0,5,"CHINCHORRO"
2025,21,3,"ESCUELA CARLOS GUIRAO MASSIF                                                                                                                                                                                                                                   ",6,5,0,15,"AYP  ",151,15101,"ARICA               ",151,"ARICA                  ",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,"CHINCHORRO"
2025,22,1,"ESCUELA GABRIELA MISTRAL                                                                                                                                                                                                                                       ",6,5,0,15,"AYP  ",151,15101,"ARICA               ",151,"ARICA                  ",1,0,46,67,113,0,398,375,773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,444,442,0,886,777,109,0,732,154,0,103,73,176,7,24,0,0,0,0,0,0,31,0,0,0,5,"CHINCHORRO"
2025,25,6,"COLEGIO CENTENARIO DE ARICA                                                                                                                                                                                                                                    ",6,5,0,15,"AYP  ",151,15101,"ARICA               ",151,"ARICA                  ",1,0,39,38,77,0,279,217,496,0,0,0,0,0,0,0,0,143,120,263,0,0,0,0,0,0,0,0,0,0,461,375,0,836,657,179,0,623,213,0,104,64,168,4,16,0,0,8,0,0,0,28,0,0,0,5,"CHINCHORRO"
