"Anio","ID region","Region","Provincia","Comuna","Número explotación","Número bloque","Tipo productor","Especie","Variedad","Anio plantacion","Metodo de riego","Numero de arboles","Superficie (ha)"
"2025","5","Región de Valparaíso","Los Andes","Rinconada","7383","3","Mujer","Vid de Mesa","Superior Seedless","2010","Surco","2476","1,30"
"2025","5","Región de Valparaíso","San Felipe de Aconcagua","Santa María","764","2","Empresa","Vid de Mesa","Superior Seedless","2025","Surco","1426","1,46"
"2025","5","Región de Valparaíso","San Felipe de Aconcagua","Panquehue","12951","2","Empresa","Vid de Mesa","Superior Seedless","2005","Surco","1973","1,48"
"2025","5","Región de Valparaíso","Los Andes","San Esteban","414","1","Empresa","Vid de Mesa","Superior Seedless","2006","Surco","1250","1,50"
"2025","5","Región de Valparaíso","Los Andes","Calle Larga","231","2","Mujer","Vid de Mesa","Superior Seedless","1998","Surco","1905","2,00"
"2025","5","Región de Valparaíso","San Felipe de Aconcagua","San Felipe","13021","1","Empresa","Vid de Mesa","Superior Seedless","2000","Surco","2381","2,50"
"2025","5","Región de Valparaíso","Los Andes","Calle Larga","231","1","Mujer","Vid de Mesa","Superior Seedless","1998","Surco","3311","2,98"
"2025","5","Región de Valparaíso","Los Andes","Los Andes","7613","6","Empresa","Vid de Mesa","Superior Seedless","1985","Surco","6082","7,45"
"2025","5","Región de Valparaíso","San Felipe de Aconcagua","Santa María","784","3","Hombre","Duraznero Consumo Fresco","Flordaking","2012","Surco","533","0,32"
"2025","5","Región de Valparaíso","San Felipe de Aconcagua","Santa María","769","3","Empresa","Duraznero Consumo Fresco","Desett Gold","2022","Surco","322","0,58"
"2025","5","Región de Valparaíso","San Felipe de Aconcagua","San Felipe","8873","4","Empresa","Duraznero Consumo Fresco","Desett Gold","2016","Surco","399","0,75"
"2025","5","Región de Valparaíso","Los Andes","San Esteban","4366","10","Hombre","Duraznero Consumo Fresco","Desett Gold","2000","Surco","1701","1,36"
"2025","5","Región de Valparaíso","San Felipe de Aconcagua","San Felipe","4074","8","Hombre","Mandarino","W.Murcott","2010","Surco","47","0,09"
"2025","5","Región de Valparaíso","Los Andes","Calle Larga","7347","2","Hombre","Mandarino","W.Murcott","2017","Surco","83","0,10"
"2025","5","Región de Valparaíso","San Felipe de Aconcagua","Panquehue","6736","2","Hombre","Mandarino","W.Murcott","2020","Surco","3600","2,88"
"2025","5","Región de Valparaíso","San Felipe de Aconcagua","San Felipe","4074","6","Hombre","Duraznero Tipo Conservero","Fortuna","2002","Surco","302","0,58"
"2025","5","Región de Valparaíso","San Felipe de Aconcagua","Putaendo","9075","3","Empresa","Duraznero Tipo Conservero","Fortuna","1992","Surco","1025","1,64"
"2025","5","Región de Valparaíso","Los Andes","San Esteban","14875","5","Hombre","Duraznero Tipo Conservero","Pomona","2008","Surco","2955","5,91"
"2025","5","Región de Valparaíso","San Felipe de Aconcagua","Catemu","17623","3","Hombre","Lima","Lima Bears o Sutil de Gaza","2004","Surco","48","0,09"
"2025","5","Región de Valparaíso","Los Andes","San Esteban","413","4","Hombre","Lima","Lima Bears o Sutil de Gaza","2018","Surco","67","0,10"
"2025","5","Región de Valparaíso","San Felipe de Aconcagua","Catemu","17623","6","Hombre","Lima","Lima Bears o Sutil de Gaza","2016","Surco","269","0,43"
"2025","5","Región de Valparaíso","San Felipe de Aconcagua","San Felipe","23688","1","Mujer","Vid de Mesa","Perlon","2015","Surco","275","0,33"
"2025","5","Región de Valparaíso","San Felipe de Aconcagua","San Felipe","23687","1","Hombre","Vid de Mesa","Perlon","2015","Surco","567","0,34"
"2025","5","Región de Valparaíso","San Felipe de Aconcagua","San Felipe","23686","1","Hombre","Vid de Mesa","Perlon","2015","Surco","583","0,35"
"2025","5","Región de Valparaíso","San Felipe de Aconcagua","San Felipe","1640","3","Empresa","Vid de Mesa","Perlon","2000","Surco","640","0,48"
"2025","5","Región de Valparaíso","San Felipe de Aconcagua","San Felipe","1715","4","Hombre","Vid de Mesa","Perlon","2009","Surco","907","0,50"
"2025","5","Región de Valparaíso","San Felipe de Aconcagua","Santa María","21280","1","Hombre","Vid de Mesa","Perlon","2021","Surco","1033","0,62"
"2025","5","Región de Valparaíso","San Felipe de Aconcagua","Santa María","21265","3","Hombre","Vid de Mesa","Perlon","2016","Surco","834","0,73"
"2025","5","Región de Valparaíso","Los Andes","San Esteban","323","5","Empresa","Vid de Mesa","Perlon","2013","Surco","924","0,97"
"2025","5","Región de Valparaíso","Los Andes","San Esteban","593","4","Hombre","Vid de Mesa","Perlon","2016","Surco","1320","0,99"
"2025","5","Región de Valparaíso","San Felipe de Aconcagua","Santa María","989","3","Empresa","Vid de Mesa","Perlon","2008","Surco","1333","1,00"
"2025","5","Región de Valparaíso","Los Andes","San Esteban","306","1","Hombre","Vid de Mesa","Perlon","2013","Surco","1400","1,05"
"2025","5","Región de Valparaíso","Los Andes","San Esteban","4398","1","Hombre","Vid de Mesa","Perlon","2014","Surco","1413","1,06"
"2025","5","Región de Valparaíso","San Felipe de Aconcagua","Santa María","989","4","Empresa","Vid de Mesa","Perlon","2015","Surco","1467","1,10"
"2025","5","Región de Valparaíso","San Felipe de Aconcagua","Santa María","992","2","Hombre","Vid de Mesa","Perlon","2007","Surco","1743","1,22"
"2025","5","Región de Valparaíso","San Felipe de Aconcagua","Santa María","848","3","Hombre","Vid de Mesa","Perlon","2017","Surco","2500","1,25"
"2025","5","Región de Valparaíso","Los Andes","San Esteban","512","1","Hombre","Vid de Mesa","Perlon","2011","Surco","1733","1,30"
"2025","5","Región de Valparaíso","Los Andes","Los Andes","14070","1","Hombre","Vid de Mesa","Perlon","2011","Surco","1857","1,30"
"2025","5","Región de Valparaíso","San Felipe de Aconcagua","Santa María","992","1","Hombre","Vid de Mesa","Perlon","2009","Surco","2417","1,45"
"2025","5","Región de Valparaíso","Los Andes","San Esteban","4398","2","Hombre","Vid de Mesa","Perlon","2018","Surco","1973","1,48"
"2025","5","Región de Valparaíso","San Felipe de Aconcagua","Panquehue","12951","5","Empresa","Vid de Mesa","Perlon","2019","Surco","1986","1,49"
"2025","5","Región de Valparaíso","San Felipe de Aconcagua","Santa María","21265","1","Hombre","Vid de Mesa","Perlon","2016","Surco","1783","1,56"
"2025","5","Región de Valparaíso","San Felipe de Aconcagua","San Felipe","1646","1","Empresa","Vid de Mesa","Perlon","2015","Surco","2381","1,65"
"2025","5","Región de Valparaíso","Los Andes","San Esteban","525","2","Empresa","Vid de Mesa","Perlon","2018","Surco","2507","1,73"
"2025","5","Región de Valparaíso","Los Andes","Rinconada","20281","3","Hombre","Vid de Mesa","Perlon","2016","Surco","2333","1,75"
"2025","5","Región de Valparaíso","Los Andes","Rinconada","24498","1","Hombre","Vid de Mesa","Perlon","2020","Surco","2067","1,86"
"2025","5","Región de Valparaíso","Los Andes","Los Andes","7613","12","Empresa","Vid de Mesa","Perlon","2008","Surco","2657","1,86"
"2025","5","Región de Valparaíso","Los Andes","Los Andes","20761","4","Empresa","Vid de Mesa","Perlon","2012","Surco","3333","2,00"
"2025","5","Región de Valparaíso","Los Andes","San Esteban","306","1","Hombre","Vid de Mesa","Perlon","2010","Surco","2720","2,04"
"2025","5","Región de Valparaíso","Los Andes","Los Andes","7613","9","Empresa","Vid de Mesa","Perlon","2017","Surco","3514","2,46"
"2025","5","Región de Valparaíso","San Felipe de Aconcagua","Panquehue","21023","1","Hombre","Vid de Mesa","Perlon","2015","Surco","3507","2,63"
"2025","5","Región de Valparaíso","San Felipe de Aconcagua","Panquehue","19105","1","Hombre","Vid de Mesa","Perlon","2015","Surco","3078","2,77"
"2025","5","Región de Valparaíso","Los Andes","San Esteban","306","1","Hombre","Vid de Mesa","Perlon","2013","Surco","3787","2,84"
"2025","5","Región de Valparaíso","Los Andes","Rinconada","20281","2","Hombre","Vid de Mesa","Perlon","2016","Surco","4160","3,12"
"2025","5","Región de Valparaíso","San Felipe de Aconcagua","Santa María","825","1","Hombre","Vid de Mesa","Centennial","2009","Surco","1152","0,72"
"2025","5","Región de Valparaíso","San Felipe de Aconcagua","San Felipe","1297","2","Empresa","Duraznero Tipo Conservero","Phillip's Cling","2012","Surco","273","0,38"
"2025","5","Región de Valparaíso","San Felipe de Aconcagua","Santa María","12810","4","Hombre","Duraznero Tipo Conservero","Phillip's Cling","1992","Surco","404","1,01"
"2025","5","Región de Valparaíso","San Felipe de Aconcagua","San Felipe","23640","3","Hombre","Vid de Mesa","Redglobe","2025","Surco","16","0,01"
"2025","5","Región de Valparaíso","San Felipe de Aconcagua","San Felipe","23640","5","Hombre","Vid de Mesa","Redglobe","2022","Surco","31","0,02"
"2025","5","Región de Valparaíso","San Felipe de Aconcagua","San Felipe","23640","6","Hombre","Vid de Mesa","Redglobe","2025","Surco","47","0,03"
"2025","5","Región de Valparaíso","San Felipe de Aconcagua","San Felipe","23640","9","Hombre","Vid de Mesa","Redglobe","2025","Surco","47","0,03"
"2025","5","Región de Valparaíso","San Felipe de Aconcagua","San Felipe","23640","3","Hombre","Vid de Mesa","Redglobe","2025","Surco","116","0,08"
"2025","5","Región de Valparaíso","San Felipe de Aconcagua","San Felipe","23640","2","Hombre","Vid de Mesa","Redglobe","2022","Surco","155","0,10"
"2025","5","Región de Valparaíso","San Felipe de Aconcagua","Santa María","18115","1","Hombre","Vid de Mesa","Redglobe","2008","Surco","126","0,11"
"2025","5","Región de Valparaíso","San Felipe de Aconcagua","San Felipe","1263","5","Hombre","Vid de Mesa","Redglobe","2007","Surco","98","0,13"
"2025","5","Región de Valparaíso","San Felipe de Aconcagua","Santa María","18115","3","Hombre","Vid de Mesa","Redglobe","2008","Surco","171","0,15"
"2025","5","Región de Valparaíso","San Felipe de Aconcagua","San Felipe","23640","3","Hombre","Vid de Mesa","Redglobe","2025","Surco","217","0,15"
"2025","5","Región de Valparaíso","San Felipe de Aconcagua","San Felipe","23640","8","Hombre","Vid de Mesa","Redglobe","2022","Surco","310","0,20"
"2025","5","Región de Valparaíso","San Felipe de Aconcagua","San Felipe","1616","2","Hombre","Vid de Mesa","Redglobe","2024","Surco","393","0,22"
"2025","5","Región de Valparaíso","San Felipe de Aconcagua","San Felipe","23640","4","Hombre","Vid de Mesa","Redglobe","2019","Surco","388","0,25"
"2025","5","Región de Valparaíso","San Felipe de Aconcagua","San Felipe","20120","1","Empresa","Vid de Mesa","Redglobe","2021","Surco","476","0,25"
"2025","5","Región de Valparaíso","San Felipe de Aconcagua","San Felipe","23640","2","Hombre","Vid de Mesa","Redglobe","2022","Surco","406","0,28"
"2025","5","Región de Valparaíso","Los Andes","San Esteban","512","3","Hombre","Vid de Mesa","Redglobe","2024","Surco","413","0,31"
"2025","5","Región de Valparaíso","San Felipe de Aconcagua","Santa María","813","2","Hombre","Vid de Mesa","Redglobe","2024","Surco","486","0,34"
"2025","5","Región de Valparaíso","San Felipe de Aconcagua","San Felipe","23640","2","Hombre","Vid de Mesa","Redglobe","2022","Surco","580","0,40"
"2025","5","Región de Valparaíso","Los Andes","San Esteban","4366","3","Hombre","Vid de Mesa","Redglobe","2000","Surco","889","0,40"
"2025","5","Región de Valparaíso","San Felipe de Aconcagua","Santa María","18220","1","Hombre","Vid de Mesa","Redglobe","2014","Surco","717","0,43"
"2025","5","Región de Valparaíso","San Felipe de Aconcagua","Santa María","14583","1","Empresa","Vid de Mesa","Redglobe","2003","Surco","1229","0,43"
"2025","5","Región de Valparaíso","Los Andes","San Esteban","4366","5","Hombre","Vid de Mesa","Redglobe","1995","Surco","2000","0,45"
"2025","5","Región de Valparaíso","San Felipe de Aconcagua","Santa María","989","5","Empresa","Vid de Mesa","Redglobe","2006","Surco","653","0,49"
"2025","5","Región de Valparaíso","Los Andes","Calle Larga","4425","1","Empresa","Vid de Mesa","Redglobe","1985","Surco","955","0,53"
"2025","5","Región de Valparaíso","Los Andes","Calle Larga","7343","7","Hombre","Vid de Mesa","Redglobe","2020","Surco","898","0,55"
"2025","5","Región de Valparaíso","San Felipe de Aconcagua","Santa María","16833","1","Hombre","Vid de Mesa","Redglobe","2018","Surco","950","0,57"
"2025","5","Región de Valparaíso","San Felipe de Aconcagua","Santa María","18107","1","Empresa","Vid de Mesa","Redglobe","2013","Surco","689","0,62"
"2025","5","Región de Valparaíso","San Felipe de Aconcagua","Santa María","20532","2","Hombre","Vid de Mesa","Redglobe","2015","Surco","880","0,66"
"2025","5","Región de Valparaíso","San Felipe de Aconcagua","Santa María","18235","1","Hombre","Vid de Mesa","Redglobe","2012","Surco","1100","0,66"
"2025","5","Región de Valparaíso","Los Andes","San Esteban","306","3","Hombre","Vid de Mesa","Redglobe","2013","Surco","973","0,73"
