,,,,,,,,,,,,,,,,,,,
"Indicadores Hospitalarios según Servicio de Salud, SNSS. Período: 2024",,,,,,,,,,,,,,,,,,,
Cód. SS/SEREMI,Nombre SS/SEREMI,Cód. Estab.,Nombre Establecimiento,Cód. Nivel Cuidado,Nombre Nivel Cuidado,Glosa,Acum,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
0,Datos País,0,Datos País,0,Datos País,Dias Cama Disponibles,9543857,792776,738985,791238,769234,819948,788923,820064,819148,789053,816061,786340,812087
0,Datos País,0,Datos País,0,Datos País,Dias Cama Ocupados,7711088,635498,582781,635253,626777,662359,641029,671676,678030,635835,666150,638510,637190
0,Datos País,0,Datos País,0,Datos País,Dias de Estada,7713462,622409,581601,629205,624313,704426,622060,657267,666800,629352,692523,626653,656853
0,Datos País,0,Datos País,0,Datos País,Promedio Cama Disponibles,26076.11,25573.42,25482.24,25523.81,25641.13,26449.94,26297.43,26453.68,26424.13,26301.77,26324.55,26211.33,26196.35
0,Datos País,0,Datos País,0,Datos País,Numero de Egresos,1007697,83169,78320,82608,84863,86046,80838,87581,88434,80108,90021,81972,83737
0,Datos País,0,Datos País,0,Datos País,Egresos Fallecidos,33029,2762,2442,2627,2596,3194,2900,2933,2990,2815,2628,2511,2631
1,Arica y Parinacota,0,Datos Servicio Salud,0,Datos Servicio Salud,Dias Cama Disponibles,115314,9731,9129,9746,9426,9734,9446,9806,9775,9490,9808,9466,9757
1,Arica y Parinacota,0,Datos Servicio Salud,0,Datos Servicio Salud,Dias Cama Ocupados,92966,8024,7204,8064,7764,7812,7672,7844,8334,7641,7826,7222,7559
1,Arica y Parinacota,0,Datos Servicio Salud,0,Datos Servicio Salud,Dias de Estada,87765,8001,7259,7221,7489,7321,6912,7746,7524,7637,7357,6913,6385
1,Arica y Parinacota,0,Datos Servicio Salud,0,Datos Servicio Salud,Promedio Cama Disponibles,315.07,313.9,314.79,314.39,314.2,314,314.87,316.32,315.32,316.33,316.39,315.53,314.74
1,Arica y Parinacota,0,Datos Servicio Salud,0,Datos Servicio Salud,Numero de Egresos,16738,1391,1373,1474,1420,1414,1376,1459,1495,1363,1402,1297,1274
1,Arica y Parinacota,0,Datos Servicio Salud,0,Datos Servicio Salud,Egresos Fallecidos,423,41,43,29,33,36,31,33,34,47,26,41,29
1,Arica y Parinacota,101100,Hospital Regional Dr. Juan Noé Crevani (Arica),0,Datos Establecimiento,Dias Cama Disponibles,115314,9731,9129,9746,9426,9734,9446,9806,9775,9490,9808,9466,9757
1,Arica y Parinacota,101100,Hospital Regional Dr. Juan Noé Crevani (Arica),0,Datos Establecimiento,Dias Cama Ocupados,92966,8024,7204,8064,7764,7812,7672,7844,8334,7641,7826,7222,7559
1,Arica y Parinacota,101100,Hospital Regional Dr. Juan Noé Crevani (Arica),0,Datos Establecimiento,Dias de Estada,87765,8001,7259,7221,7489,7321,6912,7746,7524,7637,7357,6913,6385
1,Arica y Parinacota,101100,Hospital Regional Dr. Juan Noé Crevani (Arica),0,Datos Establecimiento,Promedio Cama Disponibles,315.07,313.9,314.79,314.39,314.2,314,314.87,316.32,315.32,316.33,316.39,315.53,314.74
1,Arica y Parinacota,101100,Hospital Regional Dr. Juan Noé Crevani (Arica),0,Datos Establecimiento,Numero de Egresos,16738,1391,1373,1474,1420,1414,1376,1459,1495,1363,1402,1297,1274
1,Arica y Parinacota,101100,Hospital Regional Dr. Juan Noé Crevani (Arica),0,Datos Establecimiento,Egresos Fallecidos,423,41,43,29,33,36,31,33,34,47,26,41,29
1,Arica y Parinacota,101100,Hospital Regional Dr. Juan Noé Crevani (Arica),0,Datos Establecimiento,Indice Ocupacional,80.62,82.46,78.91,82.74,82.37,80.25,81.22,79.99,85.26,80.52,79.79,76.29,77.47
1,Arica y Parinacota,101100,Hospital Regional Dr. Juan Noé Crevani (Arica),0,Datos Establecimiento,Promedio Días de Estada,5.24,5.75,5.29,4.9,5.27,5.18,5.02,5.31,5.03,5.6,5.25,5.33,5.01
1,Arica y Parinacota,101100,Hospital Regional Dr. Juan Noé Crevani (Arica),0,Datos Establecimiento,Indice de Rotación,53.13,4.43,4.36,4.69,4.52,4.5,4.37,4.61,4.74,4.31,4.43,4.11,4.05
1,Arica y Parinacota,101100,Hospital Regional Dr. Juan Noé Crevani (Arica),0,Datos Establecimiento,Letalidad,2.53,2.95,3.13,1.97,2.32,2.55,2.25,2.26,2.27,3.45,1.85,3.16,2.28
1,Arica y Parinacota,101100,Hospital Regional Dr. Juan Noé Crevani (Arica),401,401 - Área Médica Adulto Cuidados Básicos,Dias Cama Disponibles,5368,465,435,465,450,465,450,465,465,450,465,390,403
1,Arica y Parinacota,101100,Hospital Regional Dr. Juan Noé Crevani (Arica),401,401 - Área Médica Adulto Cuidados Básicos,Dias Cama Ocupados,2019,445,339,322,149,150,118,117,140,75,65,39,60
1,Arica y Parinacota,101100,Hospital Regional Dr. Juan Noé Crevani (Arica),401,401 - Área Médica Adulto Cuidados Básicos,Dias de Estada,2644,511,443,359,311,237,157,146,152,100,109,36,83
1,Arica y Parinacota,101100,Hospital Regional Dr. Juan Noé Crevani (Arica),401,401 - Área Médica Adulto Cuidados Básicos,Promedio Cama Disponibles,14.67,15,15,15,15,15,15,15,15,15,15,13,13
1,Arica y Parinacota,101100,Hospital Regional Dr. Juan Noé Crevani (Arica),401,401 - Área Médica Adulto Cuidados Básicos,Numero de Egresos,600,97,89,77,71,44,44,40,34,37,28,12,27
1,Arica y Parinacota,101100,Hospital Regional Dr. Juan Noé Crevani (Arica),401,401 - Área Médica Adulto Cuidados Básicos,Egresos Fallecidos,3,1,0,0,0,0,2,0,0,0,0,0,0
1,Arica y Parinacota,101100,Hospital Regional Dr. Juan Noé Crevani (Arica),401,401 - Área Médica Adulto Cuidados Básicos,Indice Ocupacional,37.61,95.7,77.93,69.25,33.11,32.26,26.22,25.16,30.11,16.67,13.98,10,14.89
1,Arica y Parinacota,101100,Hospital Regional Dr. Juan Noé Crevani (Arica),401,401 - Área Médica Adulto Cuidados Básicos,Promedio Días de Estada,3.72,4.48,4.06,4.08,3.94,4.39,3.27,3.4,3.38,2.22,3.11,2,2.59
1,Arica y Parinacota,101100,Hospital Regional Dr. Juan Noé Crevani (Arica),401,401 - Área Médica Adulto Cuidados Básicos,Indice de Rotación,48.41,7.6,7.27,5.87,5.27,3.6,3.2,2.87,3,3,2.33,1.38,2.46
1,Arica y Parinacota,101100,Hospital Regional Dr. Juan Noé Crevani (Arica),401,401 - Área Médica Adulto Cuidados Básicos,Letalidad,0.42,0.88,0,0,0,0,4.17,0,0,0,0,0,0
1,Arica y Parinacota,101100,Hospital Regional Dr. Juan Noé Crevani (Arica),401,401 - Área Médica Adulto Cuidados Básicos,Traslados,110,17,20,11,8,10,4,3,11,8,7,6,5
1,Arica y Parinacota,101100,Hospital Regional Dr. Juan Noé Crevani (Arica),402,402 - Área Médica Adulto Cuidados Medios,Dias Cama Disponibles,22108,2052,1932,2045,2004,1789,1748,1840,1828,1780,1841,1671,1578
1,Arica y Parinacota,101100,Hospital Regional Dr. Juan Noé Crevani (Arica),402,402 - Área Médica Adulto Cuidados Medios,Dias Cama Ocupados,18557,1586,1297,1569,1533,1450,1545,1459,1664,1664,1767,1462,1561
1,Arica y Parinacota,101100,Hospital Regional Dr. Juan Noé Crevani (Arica),402,402 - Área Médica Adulto Cuidados Medios,Dias de Estada,18455,1637,1391,1394,1335,1480,1513,1671,1732,1685,1671,1613,1333
1,Arica y Parinacota,101100,Hospital Regional Dr. Juan Noé Crevani (Arica),402,402 - Área Médica Adulto Cuidados Medios,Promedio Cama Disponibles,60.4,66.19,66.62,65.97,66.8,57.71,58.27,59.35,58.97,59.33,59.39,55.7,50.9
1,Arica y Parinacota,101100,Hospital Regional Dr. Juan Noé Crevani (Arica),402,402 - Área Médica Adulto Cuidados Medios,Numero de Egresos,3619,248,226,269,258,294,321,343,386,308,348,303,315
1,Arica y Parinacota,101100,Hospital Regional Dr. Juan Noé Crevani (Arica),402,402 - Área Médica Adulto Cuidados Medios,Egresos Fallecidos,189,21,20,14,17,18,13,13,15,21,7,15,15
1,Arica y Parinacota,101100,Hospital Regional Dr. Juan Noé Crevani (Arica),402,402 - Área Médica Adulto Cuidados Medios,Indice Ocupacional,83.94,77.29,67.13,76.72,76.5,81.05,88.39,79.29,91.03,93.48,95.98,87.49,98.92
1,Arica y Parinacota,101100,Hospital Regional Dr. Juan Noé Crevani (Arica),402,402 - Área Médica Adulto Cuidados Medios,Promedio Días de Estada,4.33,5.49,5.19,4.3,4.36,4.01,4.02,4.34,3.96,4.55,4.17,4.65,3.53
1,Arica y Parinacota,101100,Hospital Regional Dr. Juan Noé Crevani (Arica),402,402 - Área Médica Adulto Cuidados Medios,Indice de Rotación,70.51,4.5,4.02,4.91,4.58,6.39,6.45,6.49,7.41,6.24,6.75,6.23,7.43
1,Arica y Parinacota,101100,Hospital Regional Dr. Juan Noé Crevani (Arica),402,402 - Área Médica Adulto Cuidados Medios,Letalidad,4.44,7.05,7.46,4.32,5.56,4.88,3.46,3.38,3.43,5.68,1.75,4.32,3.97
1,Arica y Parinacota,101100,Hospital Regional Dr. Juan Noé Crevani (Arica),402,402 - Área Médica Adulto Cuidados Medios,Traslados,640,50,42,55,48,75,55,42,51,62,53,44,63
1,Arica y Parinacota,101100,Hospital Regional Dr. Juan Noé Crevani (Arica),403,403 - Área Médico-Quirúrgico Cuidados Básicos,Dias Cama Disponibles,4938,527,493,527,330,341,330,341,341,330,341,510,527
1,Arica y Parinacota,101100,Hospital Regional Dr. Juan Noé Crevani (Arica),403,403 - Área Médico-Quirúrgico Cuidados Básicos,Dias Cama Ocupados,1899,472,429,450,276,93,71,40,35,7,4,18,4
1,Arica y Parinacota,101100,Hospital Regional Dr. Juan Noé Crevani (Arica),403,403 - Área Médico-Quirúrgico Cuidados Básicos,Dias de Estada,2897,838,767,499,400,72,69,165,17,21,41,7,1
1,Arica y Parinacota,101100,Hospital Regional Dr. Juan Noé Crevani (Arica),403,403 - Área Médico-Quirúrgico Cuidados Básicos,Promedio Cama Disponibles,13.49,17,17,17,11,11,11,11,11,11,11,17,17
1,Arica y Parinacota,101100,Hospital Regional Dr. Juan Noé Crevani (Arica),403,403 - Área Médico-Quirúrgico Cuidados Básicos,Numero de Egresos,586,130,130,124,84,23,18,32,10,11,16,7,1
1,Arica y Parinacota,101100,Hospital Regional Dr. Juan Noé Crevani (Arica),403,403 - Área Médico-Quirúrgico Cuidados Básicos,Egresos Fallecidos,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Arica y Parinacota,101100,Hospital Regional Dr. Juan Noé Crevani (Arica),403,403 - Área Médico-Quirúrgico Cuidados Básicos,Indice Ocupacional,38.46,89.56,87.02,85.39,83.64,27.27,21.52,11.73,10.26,2.12,1.17,3.53,0.76
1,Arica y Parinacota,101100,Hospital Regional Dr. Juan Noé Crevani (Arica),403,403 - Área Médico-Quirúrgico Cuidados Básicos,Promedio Días de Estada,4.31,5.94,5.48,3.42,4.17,2.57,3.63,4.34,1.55,1.5,1.71,0.64,0.25
1,Arica y Parinacota,101100,Hospital Regional Dr. Juan Noé Crevani (Arica),403,403 - Área Médico-Quirúrgico Cuidados Básicos,Indice de Rotación,49.81,8.29,8.24,8.59,8.73,2.55,1.73,3.45,1,1.27,2.18,0.65,0.24
1,Arica y Parinacota,101100,Hospital Regional Dr. Juan Noé Crevani (Arica),403,403 - Área Médico-Quirúrgico Cuidados Básicos,Letalidad,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Arica y Parinacota,101100,Hospital Regional Dr. Juan Noé Crevani (Arica),403,403 - Área Médico-Quirúrgico Cuidados Básicos,Traslados,86,11,10,22,12,5,1,6,1,3,8,4,3
1,Arica y Parinacota,101100,Hospital Regional Dr. Juan Noé Crevani (Arica),404,404 - Área Médico-Quirúrgico Cuidados Medios,Dias Cama Disponibles,27360,1998,1879,2015,2100,2431,2360,2449,2429,2370,2449,2340,2540
1,Arica y Parinacota,101100,Hospital Regional Dr. Juan Noé Crevani (Arica),404,404 - Área Médico-Quirúrgico Cuidados Medios,Dias Cama Ocupados,26591,1936,1721,1799,2093,2419,2332,2447,2429,2149,2431,2315,2520
1,Arica y Parinacota,101100,Hospital Regional Dr. Juan Noé Crevani (Arica),404,404 - Área Médico-Quirúrgico Cuidados Medios,Dias de Estada,26038,1761,1740,1824,2161,2219,2079,2645,2474,2238,2180,2303,2414
1,Arica y Parinacota,101100,Hospital Regional Dr. Juan Noé Crevani (Arica),404,404 - Área Médico-Quirúrgico Cuidados Medios,Promedio Cama Disponibles,74.75,64.45,64.79,65,70,78.42,78.67,79,78.35,79,79,78,81.94
1,Arica y Parinacota,101100,Hospital Regional Dr. Juan Noé Crevani (Arica),404,404 - Área Médico-Quirúrgico Cuidados Medios,Numero de Egresos,4863,340,361,354,396,429,408,445,413,431,427,417,442
1,Arica y Parinacota,101100,Hospital Regional Dr. Juan Noé Crevani (Arica),404,404 - Área Médico-Quirúrgico Cuidados Medios,Egresos Fallecidos,22,1,2,0,2,2,2,2,2,2,1,5,1
1,Arica y Parinacota,101100,Hospital Regional Dr. Juan Noé Crevani (Arica),404,404 - Área Médico-Quirúrgico Cuidados Medios,Indice Ocupacional,97.19,96.9,91.59,89.28,99.67,99.51,98.81,99.92,100,90.68,99.27,98.93,99.21
1,Arica y Parinacota,101100,Hospital Regional Dr. Juan Noé Crevani (Arica),404,404 - Área Médico-Quirúrgico Cuidados Medios,Promedio Días de Estada,5.11,4.81,4.57,4.96,5.16,4.9,4.99,5.7,5.78,4.95,4.86,5.28,5.24
1,Arica y Parinacota,101100,Hospital Regional Dr. Juan Noé Crevani (Arica),404,404 - Área Médico-Quirúrgico Cuidados Medios,Indice de Rotación,68.14,5.68,5.88,5.66,5.99,5.78,5.3,5.87,5.46,5.72,5.68,5.59,5.63
1,Arica y Parinacota,101100,Hospital Regional Dr. Juan Noé Crevani (Arica),404,404 - Área Médico-Quirúrgico Cuidados Medios,Letalidad,0.43,0.27,0.52,0,0.48,0.44,0.48,0.43,0.47,0.44,0.22,1.15,0.22
1,Arica y Parinacota,101100,Hospital Regional Dr. Juan Noé Crevani (Arica),404,404 - Área Médico-Quirúrgico Cuidados Medios,Traslados,231,26,20,14,23,24,9,19,15,21,22,19,19
1,Arica y Parinacota,101100,Hospital Regional Dr. Juan Noé Crevani (Arica),405,405 - Área Cuidados Intensivos Adultos,Dias Cama Disponibles,4331,372,348,372,360,372,360,372,372,330,341,360,372
1,Arica y Parinacota,101100,Hospital Regional Dr. Juan Noé Crevani (Arica),405,405 - Área Cuidados Intensivos Adultos,Dias Cama Ocupados,2928,264,205,313,228,203,239,195,256,260,271,229,265
1,Arica y Parinacota,101100,Hospital Regional Dr. Juan Noé Crevani (Arica),405,405 - Área Cuidados Intensivos Adultos,Dias de Estada,1501,189,74,87,180,98,115,92,65,160,139,185,117
1,Arica y Parinacota,101100,Hospital Regional Dr. Juan Noé Crevani (Arica),405,405 - Área Cuidados Intensivos Adultos,Promedio Cama Disponibles,11.83,12,12,12,12,12,12,12,12,11,11,12,12
1,Arica y Parinacota,101100,Hospital Regional Dr. Juan Noé Crevani (Arica),405,405 - Área Cuidados Intensivos Adultos,Numero de Egresos,172,13,13,15,11,18,15,14,14,17,16,17,9
1,Arica y Parinacota,101100,Hospital Regional Dr. Juan Noé Crevani (Arica),405,405 - Área Cuidados Intensivos Adultos,Egresos Fallecidos,111,11,10,9,6,8,9,8,8,13,10,12,7
1,Arica y Parinacota,101100,Hospital Regional Dr. Juan Noé Crevani (Arica),405,405 - Área Cuidados Intensivos Adultos,Indice Ocupacional,67.61,70.97,58.91,84.14,63.33,54.57,66.39,52.42,68.82,78.79,79.47,63.61,71.24
